db_id,question,farsi_question,gold_sql,error,success,predicted_sql
cre_Doc_Template_Mgt,Count the number of paragraphs in the document named 'Summer Show'.,Count the number of paragraphs in the document named 'Summer Show'.,SELECT count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_ID  =  T2.document_ID WHERE T2.document_name  =  'Summer Show',"API error occurred: Status 429
{""message"":""Requests rate limit exceeded""}",False,
cre_Doc_Template_Mgt,Count the number of documents that use the PPT template type.,تعداد اسنادی را که از نوع قالب PPT استفاده می‌کنند شمارش کنید.,SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',,True,"SELECT COUNT(DISTINCT Documents.Document_ID)
FROM Documents
JOIN Templates ON Documents.Template_ID = Templates.Template_ID
JOIN Ref_Template_Types ON Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code
WHERE lower(Ref_Template_Types.Template_Type_Description) ILIKE '%ppt%'"
tvshow,"For each language, list the number of TV Channels that use it.",برای هر زبان، تعداد کانال‌های تلویزیونی که از آن استفاده می‌کنند را فهرست کنید.,"SELECT LANGUAGE ,  count(*) FROM TV_Channel GROUP BY LANGUAGE",,True,"SELECT ""Language"", COUNT(*) AS ""Number_of_Channels""
FROM ""TV_Channel""
GROUP BY ""Language""
ORDER BY ""Number_of_Channels"" DESC;"
tvshow,What are the package options and the name of the series for the TV Channel that supports high definition TV?,گزینه‌های بسته و نام سریال برای کانال تلویزیونی که از تلویزیون با کیفیت بالا پشتیبانی می‌کند چیست؟,"SELECT package_option ,  series_name FROM TV_Channel WHERE hight_definition_TV  =  ""yes""",,True,"SELECT TV_Channel.Package_Option, TV_Channel.series_name
FROM TV_Channel
WHERE lower(TV_Channel.Hight_definition_TV) ILIKE '%yes%' OR lower(TV_Channel.Hight_definition_TV) ILIKE '%true%' OR lower(TV_Channel.Hight_definition_TV) ILIKE '%supported%'
ORDER BY TV_Channel.series_name;"
flight_2,Return the number of airlines in the USA.,تعداد شرکت های هواپیمایی در ایالات متحده را بازگردانید.,"SELECT count(*) FROM AIRLINES WHERE Country  =  ""USA""",,True,"SELECT COUNT(*)
FROM airlines
WHERE lower(Country) ILIKE '%united states%'"
flight_2,Find the number of flights landing in the city of Aberdeen or Abilene.,تعداد پروازهای فرود در شهر آبردین یا آبیلین را پیدا کنید.,"SELECT count(*) FROM Flights AS T1 JOIN Airports AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.city  =  ""Aberdeen"" OR T2.city  =  ""Abilene""",,True,"SELECT COUNT(*)
FROM flights
JOIN airports AS source ON flights.SourceAirport = source.AirportCode
JOIN airports AS dest ON flights.DestAirport = dest.AirportCode
WHERE lower(dest.City) ILIKE '%aberdeen%' OR lower(dest.City) ILIKE '%abilene%'"
singer,Show the names of singers that have more than one song.,Show the names of singers that have more than one song.,SELECT T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name HAVING COUNT(*)  >  1,,True,"SELECT DISTINCT s.Name
FROM singer s
JOIN song so ON s.Singer_ID = so.Singer_ID
GROUP BY s.Singer_ID, s.Name
HAVING COUNT(so.Song_ID) > 1
ORDER BY s.Name;"
singer,What are the names of the singers that have more than one songs?,What are the names of the singers that have more than one songs?,SELECT T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name HAVING COUNT(*)  >  1,,True,"SELECT DISTINCT s.Name
FROM singer s
JOIN song so ON s.Singer_ID = so.Singer_ID
GROUP BY s.Singer_ID, s.Name
HAVING COUNT(so.Song_ID) > 1
ORDER BY s.Name;"
network_1,Return the grade for the high schooler named Kyle.,Return the grade for the high schooler named Kyle.,"SELECT grade FROM Highschooler WHERE name  =  ""Kyle""",,True,SELECT grade FROM Highschooler WHERE lower(name) ILIKE '%kyle%'
network_1,Show the ID of the high schooler named Kyle.,نمایش شناسه دانش آموز دبیرستانی به نام کایل.,"SELECT ID FROM Highschooler WHERE name  =  ""Kyle""",,True,SELECT ID FROM Highschooler WHERE lower(name) ILIKE '%kyle%'
battle_death,What is maximum and minimum death toll caused each time?,حداکثر و حداقل تلفات هر بار چقدر است؟,"SELECT max(killed) ,  min(killed) FROM death",,True,"SELECT
    ship.name AS ship_name,
    MIN(death.killed) AS min_casualties,
    MAX(death.killed) AS max_casualties
FROM
    ship
JOIN
    death ON ship.id = death.caused_by_ship_id
GROUP BY
    ship.name
ORDER BY
    max_casualties DESC;"
battle_death,What are the name and results of the battles when the bulgarian commander is not 'Boril',نام و نتایج نبردهایی که فرمانده بلغارستانی آنها 'بوریل' نبوده است,"SELECT name ,  RESULT FROM battle WHERE bulgarian_commander != 'Boril'","API error occurred: Status 429
{""message"":""Requests rate limit exceeded""}",False,
real_estate_properties,Show the property type descriptions of properties belonging to that code.,نمایش توضیحات نوع ملک املاک مربوط به آن کد.,SELECT T2.property_type_description FROM Properties AS T1 JOIN Ref_Property_Types AS T2 ON T1.property_type_code  =  T2.property_type_code GROUP BY T1.property_type_code,,True,"SELECT DISTINCT
    Ref_Property_Types.property_type_code,
    Ref_Property_Types.property_type_description
FROM
    Ref_Property_Types
JOIN
    Properties ON Ref_Property_Types.property_type_code = Properties.property_type_code
ORDER BY
    Ref_Property_Types.property_type_code;"
real_estate_properties,What are the names of properties that are either houses or apartments with more than 1 room?,نام املاکی که خانه یا آپارتمان با بیش از یک اتاق هستند چیست؟,"SELECT property_name FROM Properties WHERE property_type_code  =  ""House"" UNION SELECT property_name FROM Properties WHERE property_type_code  =  ""Apartment"" AND room_count  >  1",,True,"SELECT DISTINCT Properties.property_name
FROM Properties
JOIN Ref_Property_Types ON Properties.property_type_code = Ref_Property_Types.property_type_code
WHERE (Ref_Property_Types.property_type_description ILIKE '%house%' OR Ref_Property_Types.property_type_description ILIKE '%apartment%' OR Ref_Property_Types.property_type_description ILIKE '%خانه%' OR Ref_Property_Types.property_type_description ILIKE '%آپارتمان%')
AND Properties.room_count > 1
ORDER BY Properties.property_name;"
employee_hire_evaluation,List the names of employees and sort in ascending order of age.,List the names of employees and sort in ascending order of age.,SELECT name FROM employee ORDER BY age,,True,SELECT Name FROM employee ORDER BY Age ASC
employee_hire_evaluation,Give me all the information about hiring.,تمام اطلاعات مربوط به استخدام را به من بدهید.,SELECT * FROM hiring,,True,"SELECT
    employee.Employee_ID,
    employee.Name,
    employee.Age,
    employee.City,
    shop.Shop_ID,
    shop.Name AS Shop_Name,
    shop.Location,
    shop.District,
    shop.Number_products,
    shop.Manager_name,
    hiring.Start_from,
    hiring.Is_full_time
FROM
    hiring
JOIN
    employee ON hiring.Employee_ID = employee.Employee_ID
JOIN
    shop ON hiring.Shop_ID = shop.Shop_ID
ORDER BY
    hiring.Start_from DESC;"
